Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A00003_001,SE_A00003_002,SE_A00003_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A14006_001,SE_A10001_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007
"01003","05000US01003","Baldwin County, Alabama","Baldwin County, Alabama","al","050","00","ACSSF","0000013",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218022,218022,137.138543347862,1589.79375657339,2027.269,1589.794,437.4753,218022,105437,112585,218022,10878,9445,18093,8740,15175,23498,25990,30117,31643,27152,13464,3827,218022,187759,20554,1276,2338,45,2586,3464,83501,55354,44921,10433,2246,8187,28147,11104,17043,56813,116632,83501,63010,20491,214740,8496,5208,5501,17500,22600,155435
"01015","05000US01015","Calhoun County, Alabama","Calhoun County, Alabama","al","050","00","ACSSF","0000014",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114277,114277,188.617138834116,605.867529888169,612.2875,605.8676,6.419951,114277,55054,59223,114277,7142,7158,5968,4216,10621,16273,12608,13616,16160,12240,6514,1761,114277,85046,24737,107,426,0,1182,2779,44264,30110,20497,9613,2819,6794,14154,5993,8161,45818,53888,44264,31036,13228,111061,7854,6790,8108,13100,10464,64745
"01043","05000US01043","Cullman County, Alabama","Cullman County, Alabama","al","050","00","ACSSF","0000015",,,,,"01","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83442,83442,113.56042357311,734.780633732666,755.0211,734.7806,20.24044,83442,40794,42648,83442,5329,4798,5226,3539,6231,10274,10131,10843,11530,9116,5570,855,83442,78643,906,301,166,0,1367,2059,30323,21587,16778,4809,1680,3129,8736,3334,5402,44612,38029,30323,22760,7563,82209,6674,2811,2342,9044,10994,50344
"01049","05000US01049","DeKalb County, Alabama","DeKalb County, Alabama","al","050","00","ACSSF","0000016",,,,,"01","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71385,71385,91.8609101945684,777.098766480771,778.6901,777.0988,1.591337,71385,35048,36337,71385,3989,3851,6121,3184,6071,8645,8261,9548,9454,7377,3342,1542,71385,60157,1335,868,173,0,7583,1269,26462,19148,15102,4046,1417,2629,7314,3384,3930,36998,31656,26462,19171,7291,70157,4847,4989,6095,8804,7099,38323
"01051","05000US01051","Elmore County, Alabama","Elmore County, Alabama","al","050","00","ACSSF","0000017",,,,,"01","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81887,81887,132.407566699152,618.446528709786,657.0404,618.4465,38.59389,81887,39988,41899,81887,5246,4443,5024,3849,6532,12140,10087,11642,10625,7550,3764,985,81887,60622,17113,345,522,0,1339,1946,30155,22103,17010,5093,1868,3225,8052,3302,4750,60796,34416,30155,22169,7986,77240,4440,,,6890,7435,55539
"01055","05000US01055","Etowah County, Alabama","Etowah County, Alabama","al","050","00","ACSSF","0000018",,,,,"01","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102501,102501,191.489764274455,535.281874665056,548.629,535.2819,13.34711,102501,48830,53671,102501,6130,6712,5659,3531,9100,12260,12232,13422,13823,11519,5919,2194,102501,81129,17474,209,862,0,1094,1733,38625,26319,18548,7771,1320,6451,12306,5251,7055,45868,47847,38625,27383,11242,100867,6801,5081,5420,11291,9501,62773
"01069","05000US01069","Houston County, Alabama","Houston County, Alabama","al","050","00","ACSSF","0000019",,,,,"01","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104722,104722,180.595861131142,579.869324491079,581.6775,579.8693,1.808136,104722,50400,54322,104722,6412,6290,7050,4369,8412,13763,12633,13289,13714,11027,5909,1854,104722,72687,29214,66,700,0,113,1942,38861,25002,17935,7067,1346,5721,13859,6358,7501,48105,47805,38861,26166,12695,103515,7094,4762,5088,11874,10774,63923
"01073","05000US01073","Jefferson County, Alabama","Jefferson County, Alabama","al","050","00","ACSSF","0000020",,,,,"01","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659300,659300,593.225528987447,1111.38170524342,1124.079,1111.382,12.69699,659300,312159,347141,659300,41749,42651,40669,24478,57830,95714,84162,80533,86814,61976,31130,11594,659300,341227,282596,1786,9564,724,10729,12674,255940,159115,107628,51487,11808,39679,96825,42412,54413,55206,309579,255940,161306,94634,643119,43626,27355,31835,53813,54155,432335
"01077","05000US01077","Lauderdale County, Alabama","Lauderdale County, Alabama","al","050","00","ACSSF","0000021",,,,,"01","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92387,92387,138.301169217825,668.013152184489,719.5999,668.0131,51.5867,92387,45646,46741,92387,4920,4433,5483,3040,10108,11317,10100,11718,12849,10360,5897,2162,92387,80452,9614,89,667,133,283,1149,38670,27140,21003,6137,1812,4325,11530,5294,6236,49014,45468,38670,25516,13154,90384,4949,3575,3375,8348,8797,61340
"01081","05000US01081","Lee County, Alabama","Lee County, Alabama","al","050","00","ACSSF","0000022",,,,,"01","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163941,163941,269.839224667566,607.550663555198,615.8489,607.5507,8.298221,163941,80832,83109,163941,8755,7948,13072,5020,31493,21562,18918,19737,17549,13335,4776,1776,163941,115009,38323,453,6950,0,582,2624,59336,37314,27744,9570,2082,7488,22022,10902,11120,46456,70372,59336,36498,22838,157870,18286,5880,7901,13821,18092,93890
"01083","05000US01083","Limestone County, Alabama","Limestone County, Alabama","al","050","00","ACSSF","0000023",,,,,"01","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96174,96174,171.752950226322,559.955446897823,607.1872,559.9554,47.23177,96174,49198,46976,96174,4340,6117,7848,4136,6767,12815,13419,13074,12563,9066,4233,1796,96174,75365,13504,702,1377,0,3579,1647,32333,23006,18186,4820,1046,3774,9327,4698,4629,67000,36535,32333,25568,6765,93095,3747,3923,2806,9049,7230,66340
"01089","05000US01089","Madison County, Alabama","Madison County, Alabama","al","050","00","ACSSF","0000024",,,,,"01","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366519,366519,457.243777396869,801.583352509741,812.7152,801.5834,11.13186,366519,178964,187555,366519,21499,23201,21254,14094,33799,51828,45578,48567,51034,32318,18013,5334,366519,245460,88541,1201,9303,27,7838,14149,152723,97542,73785,23757,6385,17372,55181,27387,27794,63111,164263,152723,99434,53289,357121,17440,14065,11793,27714,25889,260220
"01095","05000US01095","Marshall County, Alabama","Marshall County, Alabama","al","050","00","ACSSF","0000025",,,,,"01","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96109,96109,169.850384022755,565.845055652768,623.1795,565.845,57.33442,96109,47238,48871,96109,6849,5896,7317,3897,7839,10753,12141,12608,12322,9344,5387,1756,96109,87628,3727,269,385,0,2360,1740,36022,24111,17683,6428,1000,5428,11911,5531,6380,47528,40812,36022,25544,10478,94435,9102,4354,5094,9220,10827,55838
"01097","05000US01097","Mobile County, Alabama","Mobile County, Alabama","al","050","00","ACSSF","0000026",,,,,"01","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413757,413757,336.560248088987,1229.36978549708,1644.056,1229.37,414.6861,413757,197009,216748,413757,26694,24726,28384,16973,36769,58520,49083,50814,55236,39373,20213,6972,413757,239651,150188,3056,8037,138,4990,7697,158627,100153,64352,35801,8293,27508,58474,27457,31017,43061,184687,158627,95186,63441,406968,39002,26392,19059,49952,32017,240546
"01101","05000US01101","Montgomery County, Alabama","Montgomery County, Alabama","al","050","00","ACSSF","0000027",,,,,"01","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225763,225763,287.486185505222,785.300342704291,799.912,785.3004,14.61165,225763,106613,119150,225763,15134,14338,14361,8790,21804,32789,28254,27604,28413,20454,9947,3875,225763,78367,132366,518,7122,0,4087,3303,87553,54249,32915,21334,3863,17471,33304,13576,19728,49989,105170,87553,49547,38006,218245,21333,9216,12755,23007,15741,136193
"01103","05000US01103","Morgan County, Alabama","Morgan County, Alabama","al","050","00","ACSSF","0000028",,,,,"01","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119089,119089,205.542074396078,579.389890609532,599.0507,579.3899,19.66079,119089,59216,59873,119089,6941,8123,7325,4709,10615,13754,14793,15950,16415,12050,5867,2547,119089,91390,17107,327,613,0,8158,1494,45851,32627,25649,6978,1943,5035,13224,5364,7860,53260,52284,45851,32658,13193,117592,5766,3121,5079,13019,13966,76641
"01115","05000US01115","St. Clair County, Alabama","St. Clair County, Alabama","al","050","00","ACSSF","0000029",,,,,"01","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88690,88690,140.420416875293,631.603309358962,653.3798,631.6033,21.77643,88690,44933,43757,88690,5283,6221,5712,3221,6274,11436,11349,12208,12226,9027,4397,1336,88690,76382,8976,155,715,0,1430,1032,30765,22372,18006,4366,1123,3243,8393,4529,3864,56602,37190,30765,23638,7127,86702,4670,,,7258,7490,61807
"01117","05000US01117","Shelby County, Alabama","Shelby County, Alabama","al","050","00","ACSSF","0000030",,,,,"01","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215707,215707,274.654655486632,785.3753639013,809.5214,785.3754,24.14598,215707,105022,110685,215707,11944,13094,14757,8875,17648,26890,31044,30165,27995,20352,9918,3025,215707,172086,27162,372,4767,27,7400,3893,80944,55341,47386,7955,1959,5996,25603,11751,13852,71230,88393,80944,65547,15397,211940,8791,3223,5478,13511,12997,167940
"01121","05000US01121","Talladega County, Alabama","Talladega County, Alabama","al","050","00","ACSSF","0000031",,,,,"01","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79828,79828,108.346817714841,736.78213798674,760.306,736.7822,23.5238,79828,38489,41339,79828,4250,4635,4782,3143,6743,9867,10014,10796,11176,8757,4392,1273,79828,50857,27226,433,110,0,82,1120,31219,21701,14396,7305,1443,5862,9518,4529,4989,40315,37906,31219,21408,9811,76270,6865,4205,3833,9742,8352,43273
"01125","05000US01125","Tuscaloosa County, Alabama","Tuscaloosa County, Alabama","al","050","00","ACSSF","0000032",,,,,"01","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208911,208911,158.162974440356,1320.85907425054,1351.251,1320.859,30.39217,208911,99576,109335,208911,11789,11636,12544,8023,34257,31177,24947,23240,23826,16811,8124,2537,208911,135323,67036,529,3471,0,330,2222,74053,48006,34053,13953,3627,10326,26047,12671,13376,54459,93002,74053,46221,27832,198260,16833,8456,7615,16686,16540,132130
