FIPS,Geographic Identifier,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic GEOCOMP,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Combined Statistical Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District 110,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),ZIP Code Tabulation Area (5-digit),Subbarrio (FIPS),School District (Elementary),School District (Secondary),School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,Population 16 Years and Over:,Population 16 Years and Over: in Labor Force,Population 16 Years and Over: in Labor Force: in Armed Forces,Population 16 Years and Over: in Labor Force: Civilian,Population 16 Years and Over: in Labor Force: Civilian: Employed,Population 16 Years and Over: in Labor Force: Civilian: Unemployed,Population 16 Years and Over: Not in Labor Force,Civilian Population in Labor Force 16 Years and Over:,Civilian Population in Labor Force 16 Years and Over: Employed,Civilian Population in Labor Force 16 Years and Over: Unemployed,Median Household Income (In 2018 Inflation Adjusted Dollars),Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Population Age 18 to 64 for Whom Poverty Status  Is Determined: Living in Poverty,Population Age 18 to 64 for Whom Poverty Status  Is Determined: At or Above Poverty Level
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A17002_001,SE_A17002_002,SE_A17002_003,SE_A17002_004,SE_A17002_005,SE_A17002_006,SE_A17002_007,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14006_001,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003
1003,05000US01003,"Baldwin County, Alabama","Baldwin County, Alabama",al,50,0,ACSSF,13,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155691,15282,44013,47573,32210,12598,2431,1584,176222,105677,397,105280,102800,2480,70545,105280,102800,2480,56813,124431,11113,113318
1015,05000US01015,"Calhoun County, Alabama","Calhoun County, Alabama",al,50,0,ACSSF,14,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79172,12121,25761,27039,7914,4457,752,1128,93284,54040,295,53745,49415,4330,39244,53745,49415,4330,45818,66953,13390,53563
1043,05000US01043,"Cullman County, Alabama","Cullman County, Alabama",al,50,0,ACSSF,15,,,,,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58319,10228,18149,22883,4916,1434,404,305,66680,37492,0,37492,35876,1616,29188,37492,35876,1616,44612,48090,6484,41606
1049,05000US01049,"DeKalb County, Alabama","DeKalb County, Alabama",al,50,0,ACSSF,16,,,,,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48169,11681,14333,14995,3931,2512,455,262,57239,30604,0,30604,29616,988,26635,30604,29616,988,36998,41495,9125,32370
1051,05000US01051,"Elmore County, Alabama","Elmore County, Alabama",al,50,0,ACSSF,17,,,,,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56793,7490,18457,16505,10146,3068,561,566,65407,36475,307,36168,34265,1903,28932,36168,34265,1903,60796,47131,4950,42181
1055,05000US01055,"Etowah County, Alabama","Etowah County, Alabama",al,50,0,ACSSF,18,,,,,1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71369,8461,23717,25002,8676,4081,1030,402,82575,46578,0,46578,44172,2406,35997,46578,44172,2406,45868,60506,9486,51020
1069,05000US01069,"Houston County, Alabama","Houston County, Alabama",al,50,0,ACSSF,19,,,,,1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72189,9811,23099,24223,9583,4076,994,403,83421,47865,211,47654,44812,2842,35556,47654,44812,2842,48105,61388,9670,51718
1073,05000US01073,"Jefferson County, Alabama","Jefferson County, Alabama",al,50,0,ACSSF,20,,,,,1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451923,42976,120289,137262,94694,34650,14824,7228,527740,320499,427,320072,298525,21547,207241,320072,298525,21547,55206,394338,59995,334343
1077,05000US01077,"Lauderdale County, Alabama","Lauderdale County, Alabama",al,50,0,ACSSF,21,,,,,1,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64403,7187,25089,16529,9762,4115,804,917,76012,43953,0,43953,42960,993,32059,43953,42960,993,49014,54550,7883,46667
1081,05000US01081,"Lee County, Alabama","Lee County, Alabama",al,50,0,ACSSF,22,,,,,1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97653,7846,22215,34105,19722,9524,2170,2071,132509,78892,852,78040,73544,4496,53617,78040,73544,4496,46456,103597,22828,80769
1083,05000US01083,"Limestone County, Alabama","Limestone County, Alabama",al,50,0,ACSSF,23,,,,,1,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66966,11188,19519,17384,12638,5345,607,285,76535,43720,69,43651,41425,2226,32815,43651,41425,2226,67000,55896,5637,50259
1089,05000US01089,"Madison County, Alabama","Madison County, Alabama",al,50,0,ACSSF,24,,,,,1,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252672,20401,50509,71833,67977,32547,4007,5398,296893,187943,1164,186779,176976,9803,108950,186779,176976,9803,63111,222755,25470,197285
1095,05000US01095,"Marshall County, Alabama","Marshall County, Alabama",al,50,0,ACSSF,25,,,,,1,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64311,11145,19795,18817,9316,3953,841,444,74664,42486,61,42425,40540,1885,32178,42425,40540,1885,47528,55271,9843,45428
1097,05000US01097,"Mobile County, Alabama","Mobile County, Alabama",al,50,0,ACSSF,26,,,,,1,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280211,39834,97080,80823,41139,15814,3188,2333,328844,182483,847,181636,171487,10149,146361,181636,171487,10149,43061,246160,47216,198944
